Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C23",1206,3,22uF 10V,C5672
"C10, C18, C2, C3, C4, C5, C6, C7, C8",1206,9,22uF,C5672
"C11, C13, C15, C17, C19, C20, C24, C9",0603,8,100nF,C66501
"C12, C14",0603,2,10uF 10V,C19702
"D1, D2",LED0805,2,LED yellow,C2296
D10,0805,1,LED 4,C2296
D3,0603,1,LED 5V,C2833058
D4,0603,1,LED 2V5,C2833058
D5,0603,1,LED 3V3,C2833058
D6,0603,1,RX,C2833058
D7,0603,1,TX,C2833058
D8,SOT-23,1,BAT54C,C37704
D9,0805,1,LED 3,C2296
FB1,0805,1,FerriteBead,
J2,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"JX1, JX2",BergStak-100pos-plug-61083-101400,2,~,C2764776
"L2, L3",1008,2,1 uH,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C400505
"R1, R5",0603,2,1K,C21190
R10,0603,1,5K6 1%,C22843
"R11, R8",0603,2,100k 1%,
R12,0603,1,3K,C4211
"R13, R15",0603,2,133R,C4326496
"R14, R6",0603,2,316k 1%,
R16,0603,1,1K 1%,C23228
"R17, R18, R21, R24",0603,4,150R,C22808
"R19, R2, R20",0603,3,100R,C22775
"R22, R27",0603,2,3K3,C22978
R23,0603,1,100K,C25803
R25,0603,1,4K87,C2097544
"R26, R30",0603,2,1K54,C100784
"R28, R29",0603,2,5K1,C2097544
"R3, R4",0603,2,27R,C4326496
R7,0603,1,10K,C25804
R9,0603,1,453k 1%,
"SW1, SW2",Switch-TH_4P-L6.0-W6.0-P4.50-LS6.5,2,SW_MEC_5E,C445493
U1,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1,AP331A,C151034
"U2, U9",SOT-23-6,2,TLV62568DDC,
U3,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,
"U7, U8",OMNETICS_PZN-12-AA,2,~,
