Designator,Mid X,Mid Y,Rotation,Layer
C1,77.265,-102.235,0.0,top
C10,104.2942,-110.236,180.0,top
C11,45.847,-62.738,90.0,top
C12,97.54,-56.298701,180.0,top
C13,123.067999,-80.012,90.0,top
C14,81.328,-56.302,180.0,top
C15,81.328,-54.552,0.0,top
C16,81.026,-64.262,0.0,top
C17,84.328,-82.169,180.0,top
C18,121.666,-110.236,0.0,top
C19,97.54,-54.798701,0.0,top
C2,59.993,-102.235,180.0,top
C20,81.181,-66.421,180.0,top
C21,123.19,-86.614,0.0,top
C22,123.19,-93.472,0.0,top
C23,97.282,-64.135,0.0,top
C24,97.54,-66.798701,180.0,top
C25,113.185,-133.35,0.0,top
C3,59.993,-83.459955,180.0,top
C4,59.993,-110.236,180.0,top
C5,77.265,-110.236,180.0,top
C6,59.993,-117.856,180.0,top
C7,104.2942,-102.235,180.0,top
C8,121.666,-102.235,0.0,top
C9,121.666,-74.168,90.0,top
D1,38.735,-72.39,270.0,top
D10,133.35,-58.674,270.0,top
D2,38.735,-77.47,90.0,top
D3,37.592,-60.452,90.0,top
D4,77.785,-50.8,180.0,top
D5,97.47,-50.8,180.0,top
D6,57.785,-52.195,270.0,top
D7,60.96,-52.195,270.0,top
D8,89.408,-75.692,180.0,top
D9,133.35,-63.5,90.0,top
FB1,43.688,-63.373,270.0,top
J8,49.784,-51.935,180.0,top
JX1,113.03,-99.159873,270.0,top
JX2,68.58,-99.159873,270.0,top
L2,85.471,-62.738,270.0,top
L3,101.473,-62.738,270.0,top
Q1,123.0145,-66.04,180.0,top
Q2,119.2045,-62.357,180.0,top
Q3,57.404,-72.39,0.0,top
Q4,57.404,-76.2,0.0,top
R1,115.57,-72.517,0.0,top
R10,89.408,-84.328,0.0,top
R11,93.472,-59.436,180.0,top
R12,86.36,-80.772,90.0,top
R13,57.785,-56.005,90.0,top
R14,86.36,-83.82,270.0,top
R15,60.96,-56.005,90.0,top
R16,93.472,-83.31,270.0,top
R17,53.34,-72.39,0.0,top
R18,53.34,-76.2,0.0,top
R19,124.46,-74.168,90.0,top
R2,113.03,-73.025,270.0,top
R20,124.337999,-80.012,90.0,top
R21,129.54,-62.738,0.0,top
R22,123.063,-74.168,90.0,top
R23,86.36,-78.232,90.0,top
R24,129.54,-59.436,0.0,top
R25,37.592,-64.006,270.0,top
R26,81.405,-50.8,0.0,top
R27,121.797999,-80.012,90.0,top
R28,53.34,-58.545,270.0,top
R29,42.545,-57.15,180.0,top
R3,50.8,-58.42,270.0,top
R30,101.09,-50.8,0.0,top
R4,49.53,-58.42,270.0,top
R5,89.408,-85.852,180.0,top
R6,77.724,-60.96,90.0,top
R7,93.472,-80.772,270.0,top
R8,77.724,-58.42,90.0,top
R9,93.98,-60.96,90.0,top
SW1,130.81,-69.342,180.0,top
SW2,130.81,-77.47,180.0,top
SW3,101.6,-146.05,0.0,top
SW4,82.55,-146.05,0.0,top
U1,89.916,-81.28,0.0,top
U2,96.9518,-60.198,270.0,top
U3,50.165,-64.77,90.0,top
U4,80.6958,-60.198,270.0,top
U5,109.8535,-129.016,180.0,top
U6,123.19,-88.9,180.0,top
U9,123.19,-95.758,180.0,top
